,names
0,Eminem
1,50 Cent
2,Nas
3,Dr. Dre
4,Lil Wayne
5,André 3000
6,DMX
7,Snoop Dogg
8,Jay-Z
9,Ludacris
10,Busta Rhymes
11,Ice Cube
12,Kanye West
13,T.I.
14,Outkast
15,The Game
16,Missy Elliott
17,J.Cole
18,Mos Def
19,Nelly
20,Method Man
21,Redman
22,Tech N9ne
23,Feloni
24,Ghostface Killah
25,Mobb Deep
26,LL Cool J
27,Fabolous
28,T-Pain
29,Xzibit
30,G-Unit
31,D12
32,Proof
33,Common
34,Bone Thugs-N-Harmony
35,Jadakiss
36,Twista
37,Eminem Presents: The Re-Up
38,Drake
39,Big Boi
40,Scarface
41,Jeezy
42,Fat Joe
43,Lloyd Banks
44,Gucci Mane
45,Timbaland
46,Prodigy
47,Talib Kweli
48,E-40
49,Eve
50,Juvenile
51,Lil Jon
52,Meek Mill
53,Immortal Technique
54,MF DOOM & MF Grimm
55,Rick Ross
56,Lil' Kim
57,Chamillionaire
58,Cam'ron
59,Juelz Santana
60,The Lox
61,Flo Rida
62,Big K.R.I.T.
63,Ja Rule
64,Lil Dicky
65,Paul Wall
66,Sean Combs
67,B-Real
68,Fort Minor
69,Pitbull
70,Petey Pablo
71,Pharoahe Monch
72,Outlawz
73,Remy Ma
74,Aesop Rock
75,Joe Budden
76,Brother Ali
77,Slug
78,Bow Wow
79,Plies
80,Kardinal Offishall
81,Asher Roth
82,Kid Rock
83,Lady Sovereign
84,Army of the Pharaohs
85,Del tha Funkee Homosapien
86,R.A. The Rugged Man
87,Sean Price
88,Diabolic
89,Haystak
90,Sadistik
91,Kristoff Krane
